Name,Siblings and Spouses,female,Cabin Class 2,Cabin Class 3,Cherbourg,Queenstown,"Age (20, 28]","Age (28, 38]","Age (38, 80]",Mrs.,Miss,VIP,Survived,survival_prob
"Sagesser, Mlle. Emma",0,1,0,0,1,0,1,0,0,0,1,0,1,0.8597498244292826
"Eustis, Miss. Elizabeth Mussey",1,1,0,0,1,0,0,0,1,0,1,0,1,0.8254895617491448
"Taussig, Mr. Emil",1,0,0,0,0,0,0,0,1,0,0,0,0,0.38483193144435945
"Ryerson, Miss. Emily Borie",2,1,0,0,1,0,0,0,0,0,1,0,1,0.835319602909855
"Sharp, Mr. Percival James R",0,0,1,0,0,0,1,0,0,0,0,0,0,0.11955470381575671
"Thayer, Mr. John Borland Jr",0,0,0,0,1,0,0,0,0,0,0,0,1,0.34632234004725637
"Abbott, Mrs. Stanton (Rosa Hunt)",1,1,0,1,0,0,0,1,0,1,0,0,1,0.5688114252160364
"Graham, Mrs. William Thompson (Edith Junkins)",0,1,0,0,0,0,0,0,1,1,0,0,1,0.8447670870761463
"Porter, Mr. Walter Chamberlain",0,0,0,0,0,0,0,0,1,0,0,0,0,0.26411548935982754
"Ohman, Miss. Velin",0,1,0,1,0,0,1,0,0,0,1,0,1,0.5506627456456816
"Crease, Mr. Ernest James",0,0,0,1,0,0,0,0,0,0,0,0,0,0.0980729646936086
"Bateman, Rev. Robert James",0,0,1,0,0,0,0,0,1,0,0,1,0,0.19836468198816445
"Barton, Mr. David John",0,0,0,1,0,0,1,0,0,0,0,0,0,0.14456315336628958
"Mallet, Mr. Albert",1,0,1,0,1,0,0,1,0,0,0,0,0,0.2775276647679885
"Bourke, Mrs. John (Catherine)",1,1,0,1,0,1,0,1,0,1,0,0,0,0.5244871946819581
"Gronnestad, Mr. Daniel Danielsen",0,0,0,1,0,0,0,1,0,0,0,0,0,0.1684982567280713
"Ilett, Miss. Bertha",0,1,1,0,0,0,0,0,0,0,1,0,1,0.8963551515502126
"Lang, Mr. Fang",0,0,0,1,0,0,1,0,0,0,0,0,1,0.14456315336628958
"Newell, Miss. Marjorie",1,1,0,0,1,0,1,0,0,0,1,0,1,0.8587014691727242
"Silven, Miss. Lyyli Karoliina",0,1,1,0,0,0,0,0,0,0,1,0,1,0.8963551515502126
"Gilinski, Mr. Eliezer",0,0,0,1,0,0,1,0,0,0,0,0,0,0.14456315336628958
"Parrish, Mrs. (Lutie Davis)",0,1,1,0,0,0,0,0,1,1,0,0,1,0.8586337737305033
"Madill, Miss. Georgette Alexandra",0,1,0,0,0,0,0,0,0,0,1,0,1,0.9013616906627374
"Hickman, Mr. Leonard Mark",2,0,1,0,0,0,1,0,0,0,0,0,0,0.24958087048921457
